director_name,director_id
Kirsten Johnson,1
Unknown,2
Julien Leclercq,3
Mike Flanagan,4
Robert Cullen,5
José Luis Ucha,6
Haile Gerima,7
Andy Devonshire,8
Theodore Melfi,9
Kongkiat Komesiri,10
Christian Schwochow,11
Bruno Garotti,12
Pedro de Echave García,13
Pablo Azorín Williams,14
Adam Salky,15
Olivier Megaton,16
K.S. Ravikumar,17
Alex Woo,18
Stanley Moore,19
S. Shankar,20
Rajiv Menon,21
Dennis Dugan,22
Scott Stewart,23
Robert Luketic,24
Ashwiny Iyer Tiwari,25
Abhishek Chaubey,26
Saket Chaudhary,27
Daniel Sandu,28
Cédric Jimenez,29
George Nolfi,30
Steven Spielberg,31
Jeannot Szwarc,32
Joe Alves,33
Joseph Sargent,34
Tyler Greco,35
Daniel Espinosa,36
Bunmi Ajakaiye,37
Antoine Fuqua,38
Toshiya Shinohara,39
Masahiko Murata,40
Hajime Kamegaki,41
Hirotsugu Kawasaki,42
Toshiyuki Tsuru,43
Tensai Okamura,44
David Yarovesky,45
Hanns-Bruno Kammertöns,46
Vanessa Nöcker,47
Michael Wech,48
David A. Vargas,49
Kemi Adetiba,50
Ben Simms,51
Prakash Satam,52
Delhiprasad Deenadayalan,53
Tomer Eshed,54
Cedric Nicolas-Troyan,55
JJC Skillz,56
Funke Akindele,57
Thomas Sieben,58
Marcus Clarke,59
Alice Waddington,60
Mona Achache,61
Patricia Tourancheau,62
Alexis Almström,63
Raja Gosnell,64
Stephen Kijak,65
Chapman Way,66
Maclain Way,67
Jason Hehir,68
Yemi Amodu,69
Lijo Jose Pellissery,70
David de Vos,71
Luis Alfaro,72
Javier Gómez Santander,73
Sara Colangelo,74
Stephen Herek,75
Rahul Rawail,76
Jane Campion,77
Nagesh Kukunoor,78
Luke Holland,79
Shanker Raman,80
JP Habac,81
Vidhu Vinod Chopra,82
Mark Rosman,83
Gilles Paquet-Brenner,84
Lasse Hallström,85
Scott Pleydell-Pearce,86
Ridley Scott,87
Neill Blomkamp,88
Phillip Noyce,89
Renny Harlin,90
Anthony Minghella,91
Simon Wincer,92
Spike Lee,93
Sebastián Schindel,94
Steven C. Miller,95
Richard LaGravenese,96
Martin Campbell,97
Reginald Hudlin,98
George Jackson,99
Doug McHenry,100
Eric Meza,101
Gerhard Mostert,102
Michael Martin,103
Michael Rymer,104
Andrew Lau Wai-keung,105
Alan Mak,106
Brett Weiner,107
Jim Henson,108
Gary Winick,109
Danishka Esterhazy,110
Troy Byer,111
Pang Ho-cheung,112
Tim Burton,113
David Zucker,114
Kinka Usher,115
Sergio Leone,116
Matthew O'Callaghan,117
Todd Wilderman,118
Bobby Farrelly,119
Peter Farrelly,120
Wolfgang Petersen,121
Peter Spirer,122
Michael Carney,123
Richard Linklater,124
Amy Rice,125
Randal Kleiser,126
Michael Ritchie,127
J. Lee Thompson,128
Evan Goldberg,129
Seth Rogen,130
Tom Shadyac,131
Peter Segal,132
Malcolm D. Lee,133
Ramzy Bedia,134
Éric Judor,135
Sharan Koppisetty,136
Taylor Sheridan,137
Sachin Yardi,138
Saurabh Kabra,139
Mark Waters,140
Partho Mitra,141
Santram Varma,142
Anil V. Kumar,143
Anurag Basu,144
Sangeeth Sivan,145
Umesh Ghadge,146
David Dhawan,147
Dibakar Banerjee,148
Apoorva Lakhia,149
Milan Luthria,150
Pawan Kripalani,151
Bhushan Patel,152
Magnus Martens,153
Raj Nidimoru,154
Krishna D.K.,155
Joshua Rofé,156
Brad Anderson,157
Mauricio Dias,158
Tatiana Villela,159
Angel Kristi Williams,160
Roger Donaldson,161
Christopher Alender,162
Rush Sturges,163
David Oyelowo,164
Mark Lo,165
Crystal Moselle,166
Rathindran R Prasad,167
Han Kwang Il,168
Karim El Shenawy,169
Yin Chen-hao,170
Brian Andrew Mendoza,171
Dave Needham,172
Veronica Velasco,173
Drake Doremus,174
Miguel Alexandre,175
Mani Ratnam,176
Michael Harte,177
Tosin Igho,178
Alice Filippi,179
Paakhi Tyrewala,180
Laura Brownson,181
Steve Brill,182
Moses Inwang,183
Ferdinando Cito Filomarino,184
Juan Carlos Medina,185
Inma Torrente,186
Julián Gaviria,187
Steven Yamamoto,188
Charles Uwagbai,189
Julián Hernández,190
Sam Hobkinson,191
Vince Marcello,192
Jonathan Teplitzky,193
Sakon Tiacharoen,194
Floyd Russ,195
Dustin Hoffman,196
Adze Ugah,197
Hideaki Takizawa,198
Quoc Bao Tran,199
Bejoy Nambiar,200
Priyadarshan,201
Karthik Narain,202
Vasanth Sai,203
Karthik Subbaraj,204
Arvind Swamy,205
Sarjun,206
Gautham Vasudev Menon,207
Kayode Kasum,208
Just Philippot,209
Kirk DeMicco,210
Brandon Jeffords,211
Rohit Shetty,212
Cavi Borges,213
Luciano Vidigal,214
Alejandro Doria,215
Laura Fairrie,216
Marcelo Piñeyro,217
Izu Ojukwu,218
Peter Winther,219
Susan Lacy,220
Billy Corben,221
James Mangold,222
Chineze Anyaene,223
Hsu Fu-chun,224
Kristine Stolakis,225
Eva Müller,226
Michael Schmitt,227
Brian Levant,228
Rod Daniel,229
Robert Zemeckis,230
Todor Chapkanov,231
Phil Lord,232
Christopher Miller,233
John Hughes,234
Justin Baldoni,235
Joe Roth,236
Mark Helfrich,237
Mag Hsu,238
Hsu Chih-yen,239
Christopher Nolan,240
