show_id,director_id
s1,1
s2,2
s3,3
s4,2
s5,2
s6,4
s7,5
s7,6
s8,7
s9,8
s10,9
s11,2
s12,10
s13,11
s14,12
s15,2
s16,2
s17,13
s17,14
s18,2
s19,15
s20,2
s21,16
s22,2
s23,17
s24,18
s24,19
s25,20
s26,2
s27,21
s28,22
s29,23
s30,24
s31,25
s31,26
s31,27
s32,2
s33,2
s34,2
s35,2
s36,28
s37,29
s38,2
s39,30
s40,2
s41,2
s42,31
s43,32
s44,33
s45,34
s46,35
s47,36
s48,37
s49,38
s50,2
s51,2
s52,39
s53,39
s54,39
s55,39
s56,2
s57,40
s58,41
s59,40
s60,41
s61,40
s62,42
s63,43
s64,44
s65,45
s66,2
s67,2
s68,2
s69,46
s69,47
s69,48
s70,2
s71,2
s72,49
s73,2
s74,50
s75,2
s76,51
s77,2
s78,52
s79,53
s80,53
s81,54
s82,55
s83,2
s84,2
s85,56
s85,57
s86,2
s87,58
s88,2
s89,59
s90,2
s91,60
s92,61
s92,62
s93,2
s94,63
s95,64
s96,2
s97,65
s98,2
s99,2
s100,2
s101,2
s102,66
s102,67
s103,68
s104,69
s105,2
s106,70
s107,2
s108,71
s109,2
s110,2
s111,72
s111,73
s112,2
s113,74
s114,75
s115,76
s116,77
s117,78
s118,79
s119,80
s120,81
s121,2
s122,2
s123,77
s124,2
s125,2
s126,2
s127,82
s128,83
s129,84
s130,85
s131,86
s132,87
s133,2
s134,88
s135,89
s136,90
s137,91
s138,92
s139,85
s140,93
s141,94
s142,95
s143,96
s144,97
s145,98
s146,99
s146,100
s147,101
s148,2
s149,102
s150,103
s151,104
s152,105
s152,106
s153,107
s154,2
s155,2
s156,108
s157,109
s158,110
s159,111
s160,112
s161,2
s162,113
s163,98
s164,114
s165,115
s166,2
s167,116
s168,117
s168,118
s169,119
s169,120
s170,121
s171,122
s172,123
s173,124
s174,125
s175,38
s176,126
s177,127
s178,128
s179,129
s179,130
s180,131
s181,132
s182,2
s183,133
s184,121
s185,2
s186,66
s186,67
s187,2
s188,2
s189,134
s189,135
s190,2
s191,136
s192,137
s193,138
s194,2
s195,2
s196,139
s197,140
s198,2
s199,50
s200,141
s201,142
s202,143
s202,144
s203,145
s204,146
s205,138
s206,147
s207,148
s208,149
s209,150
s210,150
s211,151
s212,152
